table.names,attr.names,access.table,access.attr,mariadb.table,mariadb.attr
acquisition_type,code,acquisition_type,code,acquisitiontype,code
acquisition_type,description,acquisition_type,description,acquisitiontype,description
flags,numsymbol,flags,numsymbol,flags,numSymbol
flags,description,flags,description,flags,description
flags,charsymbol,flags,charsymbol,flags,characterSymbol
instrument,instrument_name,instrument,instrument_name,instrument,instrumentName
instrument,manufacturer,instrument,manufacturer,instrument,manufacturer
instrument,id,instrument,id,instrument,instrumentId
instrument,type,instrument,type,instrument,model
instrument,NA,instrument,NA,instrument,serialNumber
instrument,NA,instrument,NA,instrument,abbreviation
instrument,NA,instrument,NA,instrument,instrumentUncertainty
instrument,NA,instrument,NA,instrument,installationDatetime
instrument,NA,instrument,NA,instrument,deinstallationDatetime
instrument,NA,instrument,NA,instrument,height
instrument,NA,instrument,NA,instrument,instrumentPicture
instrument,NA,instrument,NA,instrument,installedAt
obs_element,abbreviation,obs_element,abbreviation,obselement,abbreviation
obs_element,element_name,obs_element,element_name,obselement,elementName
obs_element,description,obs_element,description,obselement,description
obs_element,element_scale,obs_element,element_scale,obselement,elementScale
obs_element,upper_limit,obs_element,upper_limit,obselement,upperLimit
obs_element,lower_limit,obs_element,lower_limit,obselement,lowerLimit
obs_element,units,obs_element,units,obselement,units
obs_element,element_type,obs_element,element_type,obselement,elementtype
obs_element,code,obs_element,code,obselement,elementId
obs_element,total,obs_element,total,obselement,qcTotalRequired
obs_element,selected,obs_element,selected,obselement,NA
paper_archive,belongs_to,paper_archive,belongs_to,paperarchive,belongsTo
paper_archive,image,paper_archive,image,paperarchive,image
paper_archive,code,paper_archive,code,paperarchive,NA
paper_archive,yyyy,paper_archive,yyyy,paperarchive,NA
paper_archive,mm,paper_archive,mm,paperarchive,NA
paper_archive,dd,paper_archive,dd,paperarchive,NA
paper_archive,NA,paper_archive,NA,paperarchive,formDatetime
paper_archive,NA,paper_archive,NA,paperarchive,classifiedInto
paper_archive_definition,description,paper_archive_definition,description,paperarchivedefinition,description
paper_archive_definition,code,paper_archive_definition,code,paperarchivedefinition,formId
qc_status_definition,description,qc_status_definition,description,qcstatusdefinition,description
qc_status_definition,qc_status,qc_status_definition,qc_status,qcstatusdefinition,NA
qc_status_definition,NA,qc_status_definition,NA,qcstatusdefinition,code
qc_type,code,qc_type,code,qctype,code
qc_type,description,qc_type,description,qctype,description
seq_day,day,seq_day,day,seq_day,dd
seq_month,month,seq_month,month,seq_month,mm
seq_year,year,seq_year,year,seq_year,yyyy
station,station_name,station,station_name,station,stationName
station,country,station,country,station,country
station,authority,station,authority,station,authority
station,id,station,id,station,stationId
station,qualifier,station,qualifier,station,NA
station,NA,station,NA,station,latitude
station,NA,station,NA,station,longitude
station,NA,station,NA,station,elevation
station,NA,station,NA,station,geoLocationMethod
station,NA,station,NA,station,geoLocationAccuracy
station,NA,station,NA,station,openingDatetime
station,NA,station,NA,station,closingDatetime
station,district,station,district,station,adminRegion
station,NA,station,NA,station,drainageBasin
station,NA,station,NA,station,wacaSelection
station,NA,station,NA,station,cptSelection
station,NA,station,NA,station,stationOperational
stationelement,recorded_from,stationelement,recorded_from,stationelement,recordedFrom
stationelement,described_by,stationelement,described_by,stationelement,describedBy
stationelement,recorded_with,stationelement,recorded_with,stationelement,recordedWith
stationelement,scheduled_for,stationelement,scheduled_for,stationelement,scheduledFor
stationelement,height,stationelement,height,stationelement,height
stationelement,begindate,stationelement,begindate,stationelement,beginDate
stationelement,enddate,stationelement,enddate,stationelement,endDate
stationid_alias,id_alias,stationid_alias,id_alias,stationidalias,idAlias
stationid_alias,refers_to,stationid_alias,refers_to,stationidalias,refersTo
stationid_alias,belongs_to,stationid_alias,belongs_to,stationidalias,belongsTo
stationid_alias,NA,stationid_alias,NA,stationidalias,idAliasBeginDate
stationid_alias,NA,stationid_alias,NA,stationidalias,idAliasEndDate
observation,recorded_from,observation,recorded_from,observationinitial,recordedFrom
observation,described_by,observation,described_by,observationinitial,describedBy
observation,obs_value,observation,obs_value,observationinitial,obsValue
observation,flag,observation,flag,observationinitial,flag
observation,period,observation,period,observationinitial,period
observation,qc_status,observation,qc_status,observationinitial,qcStatus
observation,qc_type_log,observation,qc_type_log,observationinitial,qcTypeLog
observation,acquisition_type,observation,acquisition_type,observationinitial,acquisitionType
observation,data_form,observation,data_form,observationinitial,dataForm
observation,captured_by,observation,captured_by,observationinitial,capturedBy
observation,mark,observation,mark,observationinitial,mark
observation,recorded_at,observation,recorded_at,observationinitial,obsDatetime
observation,made_at,observation,made_at,observationinitial,obsLevel
observation,NA,observation,NA,observationinitial,temperatureUnits
observation,NA,observation,NA,observationinitial,precipitationUnits
observation,NA,observation,NA,observationinitial,cloudHeightUnits
observation,NA,observation,NA,observationinitial,visUnits
observation,NA,observation,NA,observationinitial,dataSourceTimeZone
station_location,latitude,station_location,latitude,stationlocationhistory,latitude
station_location,longitude,station_location,longitude,stationlocationhistory,longitude
station_location,elevation,station_location,elevation,stationlocationhistory,elevation
station_location,drainagebasin,station_location,drainagebasin,stationlocationhistory,drainageBasin
station_location,occupied_by,station_location,occupied_by,stationlocationhistory,belongsTo
station_location,begin_datetime,station_location,begin_datetime,stationlocationhistory,openingDatetime
station_location,end_datetime,station_location,end_datetime,stationlocationhistory,closingDatetime
station_location,NA,station_location,NA,stationlocationhistory,stationType
station_location,NA,station_location,NA,stationlocationhistory,geoLocationMethod
station_location,NA,station_location,NA,stationlocationhistory,geoLocationAccuracy
station_location,NA,station_location,NA,stationlocationhistory,authority
station_location,NA,station_location,NA,stationlocationhistory,adminRegion
